Q4,Q5,Q5_TEXT,Q6,Q7,Q8,Q9_22,Q9_23,Q9_24,Q9_25,Q9_26,Q9_27,Q9_28,Q9_29,Q9_30,Q9_31,Q9_32,Q9_33,Q9_34,Q9_35,Q9_36,Q9_37,Q9_38,Q9_39,Q10_40,Q10_41,Q10_42,Q10_43,Q10_44,Q10_45,Q10_46,Q10_47,Q10_48,Q10_49,Q10_50,Q10_51,Q10_52,Q10_53,Q10_54,Q10_55,Q10_56,Q10_57,Q11,Q12_58,Q12_59,Q12_60,Q12_61,Q12_62,Q12_63,Q12_64,Q12_65,Q12_66,Q12_67,Q12_68,Q12_69,Q12_70,Q12_71,Q12_72,Q12_73,Q12_74,Q12_75,Q12_76,Q12_77,Q12_78,Q12_79,Q12_80,Q12_81,Q12_82,Q12_83,Q12_84,Q12_85,Q13_79,Q13_80,Q13_81,Q13_82,Q13_83,Q14_1,Q15,Q16,Q17,Q18,Q19,LocationLatitude,LocationLongitude,LocationAccuracy
 ,2, ,3,6,1,6,7,7,5,7,6,5,6,6,6,5,7,6,6,6,5,6,6,7,5,7,6,6,5,5,6,7,6,5,6,6,5,6,6,5,6,1,6,7,6,5,6,5,7,7,7,5,6,6,5,6,6,6,6,6,6,6,7,5,5,6,6,6,7,6,6,6,7,5,7,28,1,12.5,3,5,1,40.722793579102,-73.516998291016,-1
target,2, ,3,10,1,6,7,7,7,7,7,7,3,3,3,7,7,5,7,7,6,7,7,7,5,4,7,6,5,6,7,6,5,2,5,3,3,3,3,3,3,1,6,6,5,5,5,5,3,6,6,3,6,6,6,6,3,3,6,3,7,6,6,6,5,3,6,6,5,6,6,6,6,6,6,24,0,250,4,5,1,40.696304321289,-73.620697021484,-1
 ,2, ,2,5,1,6,7,6,7,5,6,6,6,7,6,5,6,6,4,7,5,6,6,6,6,6,7,6,5,7,7,6,6,6,5,5,7,6,7,6,6,1,6,6,5,5,7,6,6,7,6,5,5,6,6,4,4,7,5,7,6,6,6,7,6,7,6,5,6,7,7,5,6,6,7,27,0,87.5,4,5,1,40.722793579102,-73.516998291016,-1
BestBuy,2, ,3,7,1,6,5,6,6,6,5,6,7,5,6,6,6,5,7,7,6,7,5,5,7,7,7,6,5,6,6,5,6,7,6,6,6,6,7,7,6,1,7,5,6,5,6,6,7,7,6,6,7,6,6,6,7,6,6,7,6,5,6,6,5,5,6,6,7,5,7,6,7,6,6,32,0,37.5,5,1,1,40.696304321289,-73.620697021484,-1
BestBuy,2, ,3,7,1,6,5,6,6,5,7,6,6,4,6,6,6,6,7,5,5,7,7,5,7,7,6,7,5,7,6,6,5,6,6,7,6,5,6,5,6,1,5,7,6,5,6,5,6,6,5,6,5,7,5,7,6,7,7,6,7,6,7,6,6,6,7,6,5,6,7,6,6,7,6,35,1,162.5,5,1,1,40.696304321289,-73.620697021484,-1
Cosco,1, ,3,6,1,5,7,5,6,6,5,5,6,6,6,6,7,7,6,7,7,6,7,6,7,7,6,7,5,7,5,7,5,6,6,5,6,7,7,6,5,1,6,6,7,5,6,5,6,7,7,7,6,7,6,6,6,7,7,6,7,6,5,5,6,5,7,7,5,5,6,5,7,6,7,35,0,37.5,5,1,1,40.696304321289,-73.620697021484,-1
uniqlo,3, ,3,4,1,5,3,3,2,4,4,4,3,5,4,4,4,4,4,3,3,4,4,5,4,4,3,3,6,5,3,5,5,5,4,2,5,4,4,4,3,1,5,5,4,5,4,3,6,4,5,5,4,5,4,5,4,5,5,5,3,4,2,4,5,5,4,3,4,5,5,5,4,5,5,27,0,12.5,5,5,1,40.722900390625,-73.842399597168,-1
Baijia supermarket,1, ,2,5,1,6,6,5,6,4,2,4,6,6,6,7,6,2,7,5,7,6,6,4,4,4,5,3,6,2,5,5,4,5,6,6,4,6,4,4,6,1,5,5,2,5,6,5,6,6,4,5,6,5,6,6,5,5,2,4,6,2,5,6,6,4,3,5,3,6,5,5,4,5,6,22,0,12.5,3,5,1,22.283294677734,114.14999389648,-1
target,1, ,2,10,1,5,7,6,6,6,6,6,5,6,6,6,5,5,6,5,4,6,5,5,6,5,6,3,6,4,6,5,4,6,5,6,5,6,6,5,5,1,6,6,6,5,6,5,7,5,6,7,6,6,6,7,6,6,5,7,5,6,5,6,6,6,5,6,6,5,6,5,4,5,6,24,0,37.5,3,5,1,40.696304321289,-73.620697021484,-1
Francescas,2, ,2,7,1,4,5,3,7,3,4,5,7,6,7,3,5,3,5,3,5,5,5,7,4,7,7,3,6,5,3,7,6,7,7,7,7,6,7,7,7,1,1,4,1,5,6,2,7,5,7,1,7,7,7,7,2,1,6,2,6,5,5,6,5,6,6,5,6,3,5,5,5,5,5,23,0,62.5,5,5,1,40.796798706055,-74.481498718262,-1
Walmart,2, ,2,10,1,5,4,6,5,6,5,6,3,3,2,4,3,5,3,6,4,5,5,5,4,3,2,4,6,4,3,6,5,3,2,5,4,1,2,1,2,1,2,3,4,5,2,2,4,5,6,7,6,5,6,6,7,7,7,7,7,6,5,5,5,5,6,5,6,6,2,5,4,3,2,22,1,12.5,3,5,1,39.959701538086,-75.196800231934,-1
Target,1, ,3,5,1,7,5,6,4,4,7,5,3,6,4,6,4,2,3,4,6,5,7,5,6,6,2,4,6,6,5,4,5,5,3,7,6,7,5,4,5,1,4,3,5,5,6,4,4,5,5,5,5,2,4,4,3,7,3,2,6,7,4,6,4,4,4,3,3,7,5,5,5,5,5,31,0,187.5,5,1,1,40.696304321289,-73.620697021484,-1
fairway,1, ,2,5,1,4,4,6,5,4,7,6,4,4,5,3,5,5,6,7,6,5,5,4,5,5,4,4,6,4,4,4,4,4,5,5,4,4,5,5,6,1,5,6,4,5,6,4,5,4,4,4,6,5,6,6,4,4,4,4,5,5,5,5,5,4,5,5,5,4,5,6,4,5,4,32,0,37.5,3,1,1,40.672607421875,-73.536399841309,-1
cvs,3, ,3,7,1,5,5,5,6,6,6,5,6,4,5,5,6,5,6,6,6,5,5,5,5,4,5,4,6,4,4,6,4,6,5,6,6,4,6,6,6,1,3,6,3,5,3,3,5,5,5,3,6,6,6,6,5,3,3,3,5,5,5,5,6,5,6,3,5,6,3,5,3,3,3,29,1,37.5,5,5,1,40.72509765625,-73.707000732422,-1
key market,1, ,2,5,1,5,5,5,6,6,6,5,6,5,6,6,5,5,5,6,5,5,5,6,5,5,5,4,6,6,6,5,6,6,5,5,6,5,5,5,3,1,5,5,4,5,5,4,5,4,3,4,5,5,4,3,4,4,4,4,4,3,3,5,4,5,4,4,4,5,6,4,4,6,6,24,1,12.5,3,5,1,40.748199462891,-73.906799316406,-1
Sephora,3, ,3,7,1,4,5,4,6,3,6,5,6,6,6,4,4,5,6,7,4,6,6,5,5,6,5,4,6,4,5,6,3,6,4,3,4,5,5,3,4,1,6,6,3,5,4,5,4,5,5,4,6,6,6,6,4,4,4,4,4,5,5,6,5,5,4,4,3,4,5,6,6,6,5,22,0,12.5,4,5,1,40.696304321289,-73.620697021484,-1
stop n shop,1, ,2,5,1,5,5,5,5,4,6,5,5,4,5,5,5,5,5,6,5,5,6,6,5,5,6,4,6,4,5,6,6,5,5,5,5,5,5,5,4,1,5,5,5,5,5,5,5,4,5,5,6,5,5,5,4,5,5,5,5,6,6,5,5,5,5,5,3,5,6,6,6,6,5,24,0,87.5,3,5,1,40.75700378418,-73.581398010254,-1
sephora,3, ,2,4,1,5,5,4,6,6,4,6,4,6,6,6,6,6,6,6,4,6,5,6,6,6,6,4,6,6,6,6,6,4,5,6,5,5,4,5,4,1,5,6,4,5,4,6,6,5,6,6,4,6,5,5,6,5,6,4,6,5,5,6,6,5,5,4,4,4,6,5,6,4,6,24,0,87.5,3,2,1,40.696304321289,-73.620697021484,-1
Macy's,3, ,2,4,1,5,2,5,2,4,5,5,5,3,5,3,5,5,5,5,5,4,3,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,37,1,87.5,5,1,1,40.75700378418,-73.581398010254,-1
Western Beef,5, ,1,5,1,5,6,7,6,7,7,7,7,6,5,7,7,3,7,3,7,7,7,6,6,6,6,4,6,4,4,6,5,6,5,6,6,6,6,7,6,1,5,5,5,5,5,5,4,5,5,4,5,5,5,7,5,5,5,5,5,6,5,6,5,6,5,6,6,5,5,5,6,5,5,26,0,12.5,3,5,1,40.696304321289,-73.620697021484,-1
h mart,1, ,3,5,1,5,7,4,3,1,2,5,2,4,7,1,6,4,6,3,3,6,4,7,3,2,2,5,6,2,1,4,5,4,4,5,2,4,5,6,3,1,4,4,3,5,4,5,3,3,4,4,4,5,5,5,5,4,5,4,3,4,5,5,4,5,5,4,4,4,5,4,4,4,3,36,0,87.5,5,2,1,40.705795288086,-73.592300415039,-1
sony,2, ,1,7,1,5,4,5,6,6,5,5,4,5,4,4,5,5,5,5,6,6,5,6,6,5,4,5,6,5,5,4,4,5,5,5,6,6,5,5,5,1,6,5,6,5,4,6,5,5,5,5,4,6,6,5,5,4,4,5,5,4,6,5,6,5,5,5,5,6,6,6,5,6,5,25,1,12.5,3,5,1,40.696304321289,-73.620697021484,-1
penny house,1, ,2,5,1,5,5,5,6,6,4,2,4,6,5,6,5,6,4,3,5,5,5,5,6,4,5,5,6,4,6,5,6,4,4,6,5,4,6,5,6,1,4,5,6,5,6,5,4,5,4,6,6,5,4,5,6,5,6,6,5,6,4,6,6,6,5,5,5,6,5,6,6,5,5,22,0,12.5,5,5,1,25.666702270508,114.75,-1
H&M,3, ,2,4,1,4,5,6,5,5,5,4,5,6,6,5,6,5,5,5,5,6,4,4,6,5,5,5,6,6,5,5,6,4,5,5,5,5,6,5,5,1,5,6,4,5,6,5,6,5,4,5,6,5,4,6,5,6,5,5,5,6,5,4,5,6,5,6,5,6,4,5,5,6,6,61,1,62.5,5,3,1,40.696304321289,-73.620697021484,-1
Target,1, ,2,6,1,5,6,4,5,6,5,6,6,5,6,5,5,5,4,5,6,5,6,5,6,5,5,5,6,6,6,5,5,5,5,6,6,5,5,5,4,1,6,5,5,5,6,5,5,5,6,5,5,4,5,4,5,6,6,6,5,6,5,6,5,6,5,5,5,5,6,5,6,6,5,35,1,87.5,5,1,1,40.696304321289,-73.620697021484,-1
Bloomingdale,2, ,3,4,1,4,5,4,6,6,2,5,3,6,6,6,3,4,4,5,6,6,5,6,4,5,5,5,6,4,6,6,3,5,4,5,4,5,5,6,6,1,6,4,5,5,6,6,6,6,4,5,6,6,3,5,5,5,5,5,6,5,4,5,5,6,5,5,6,3,4,5,6,6,6,30,1,112.5,4,5,1,40.722503662109,-73.556800842285,-1
stop shop,1, ,2,5,1,6,5,5,5,6,6,5,5,5,6,5,6,6,6,6,5,6,5,6,5,5,5,5,6,6,6,6,5,6,6,5,6,5,5,6,5,1,5,6,6,5,6,5,5,5,6,5,5,6,5,6,6,5,6,5,6,6,5,5,6,5,6,6,5,6,6,6,5,5,5,22,1,12.5,3,5,1,40.696304321289,-73.620697021484,-1
Zara,3, ,2,4,1,6,5,6,4,5,6,6,5,4,6,5,4,5,5,5,6,5,5,6,6,5,5,5,6,5,4,5,7,4,6,5,5,6,5,6,5,1,6,7,7,5,5,6,6,6,6,7,5,7,6,7,5,7,6,6,6,5,6,6,6,5,7,6,7,7,5,7,6,6,7,36,0,62.5,5,1,1,40.755599975586,-73.978897094727,-1
J-Mart,1, ,3,10,1,6,5,5,6,7,5,4,4,5,7,5,6,5,6,5,6,7,4,5,5,6,5,5,6,6,6,6,5,4,6,5,6,5,6,6,5,1,5,6,7,5,6,6,5,6,5,4,5,6,7,6,5,6,5,7,5,5,4,5,6,4,6,7,5,5,4,4,4,4,4,71,0,12.5,3,4,1,40.696304321289,-73.620697021484,-1
huarunwanjia,1, ,2,5,1,5,6,5,6,5,5,6,5,5,6,5,5,6,6,5,5,5,6,5,6,6,5,5,6,6,6,6,6,5,6,5,6,5,5,5,6,1,5,6,6,5,6,6,6,6,5,6,5,5,6,5,6,5,5,6,6,5,6,6,5,6,6,5,6,6,6,6,6,5,6,27,1,12.5,5,1,1,22.276901245117,113.56781005859,-1
rite-aid,1, ,2,9,1,4,3,2,6,7,6,4,2,3,5,3,4,6,4,6,2,3,3,6,5,6,5,5,6,6,6,6,4,6,6,5,6,6,5,4,5,1,5,6,6,5,4,5,5,4,6,6,7,6,6,6,7,6,4,6,4,4,6,6,6,6,4,6,6,6,5,6,6,6,6,31,1,12.5,3,5,1,40.766494750977,-73.827003479004,-1
apple,2, ,3,7,1,6,5,5,6,6,5,6,6,6,6,6,6,5,5,6,6,6,5,6,6,6,5,5,6,5,5,6,6,5,6,6,6,5,5,5,5,1,5,4,6,5,6,4,6,5,4,4,5,4,5,4,5,5,5,4,6,6,6,6,6,5,5,4,4,5,4,4,5,6,4,33,0,87.5,5,5,1,40.650100708008,-73.949600219727,-1
youyiku,3, ,2,7,1,5,3,6,4,5,6,4,5,4,5,5,4,6,7,5,5,6,5,5,5,7,5,5,6,5,5,6,5,4,6,4,6,5,3,5,4,1,7,5,6,5,6,5,3,5,6,5,6,5,6,6,5,6,6,4,5,5,4,6,6,6,6,6,6,5,3,5,6,6,4,26,1,37.5,5,2,1,22.283294677734,114.14999389648,-1
best buy,2, ,2,7,1,6,4,6,6,7,5,5,6,5,5,6,5,6,6,6,5,6,5,4,5,4,6,5,6,5,4,4,5,6,5,7,6,6,5,5,5,1,5,3,5,5,5,4,5,6,4,4,6,5,5,5,5,3,6,5,6,5,5,5,4,6,6,5,5,5,5,6,5,6,5,28,1,87.5,5,1,1,40.766998291016,-73.525398254395,-1
skin store,3, ,3,4,1,6,6,6,6,5,4,5,4,6,5,5,5,5,4,7,6,6,4,5,5,5,6,5,6,4,5,5,6,6,5,5,4,5,4,4,5,1,4,2,5,5,3,3,3,3,4,3,3,3,3,2,4,2,3,2,3,2,5,4,3,3,3,3,4,3,5,6,6,6,6,35,0,37.5,5,2,1,40.766998291016,-73.525398254395,-1
Wholefoods,1, ,3,5,1,6,5,6,6,6,5,5,6,6,5,6,5,6,5,5,6,6,6,5,6,5,6,5,6,6,5,5,6,5,5,5,6,5,5,6,5,1,6,5,6,5,6,5,5,6,5,5,5,5,5,6,6,6,6,6,5,6,5,5,5,5,5,6,6,6,7,7,7,7,7,44,1,112.5,5,1,1,40.696304321289,-73.620697021484,-1
Target,2, ,2,5,1,5,5,6,5,6,4,6,6,5,5,6,6,5,6,5,6,6,6,6,5,5,6,5,6,5,5,6,6,6,6,5,5,6,6,6,6,1,6,5,6,5,6,5,6,6,6,6,5,5,6,6,5,5,5,6,6,6,5,5,5,6,6,6,5,6,6,5,5,6,6,40,0,162.5,5,1,1,42.652297973633,-71.350601196289,-1
Macy's,3, ,2,4,1,6,6,6,6,6,6,5,6,5,6,5,6,5,6,6,5,6,6,6,7,5,6,5,6,5,5,6,6,6,6,6,6,5,6,5,6,1,5,6,6,5,6,6,6,5,5,4,4,6,7,5,5,6,6,5,6,6,6,6,6,7,6,4,4,6,6,7,6,5,6,45,0,62.5,5,1,1,40.73860168457,-73.722396850586,-1
target,2, ,2,5,1,5,5,4,6,4,5,5,5,6,6,6,4,5,5,5,6,5,6,6,6,6,6,5,6,6,5,5,6,4,4,6,4,5,6,6,4,1,6,6,6,5,6,6,5,6,5,6,5,6,4,5,5,5,6,6,6,5,6,6,5,5,6,5,6,6,6,6,6,6,6,24,1,12.5,3,1,1,40.696304321289,-73.620697021484,-1
stop shop,1, ,2,5,1,6,6,6,6,6,5,6,6,6,5,6,6,5,6,7,7,6,6,6,6,6,6,5,6,6,4,6,6,6,6,5,5,6,6,5,6,1,6,5,6,5,4,5,3,4,5,4,5,6,5,6,5,5,5,5,6,5,7,4,4,5,4,5,5,5,5,6,5,6,6,30,0,12.5,5,5,1,40.722793579102,-73.516998291016,-1
stop and shop,1, ,2,5,1,7,6,6,6,7,5,6,7,5,6,5,6,5,5,6,6,7,5,5,6,5,7,5,6,5,5,5,5,6,5,7,6,6,7,6,6,1,6,6,6,5,6,6,5,6,6,5,5,5,7,5,6,6,7,5,6,5,7,7,7,5,6,6,7,5,6,6,7,6,5,25,1,87.5,4,5,1,30.870300292969,120.09329223633,-1
target,2, ,2,10,1,6,6,5,5,5,6,5,7,7,6,6,7,6,5,6,7,7,6,6,6,5,7,5,6,7,5,6,5,7,5,6,7,7,5,6,5,1,5,7,5,5,5,6,7,7,6,5,7,5,7,6,5,6,5,7,7,6,6,5,7,6,6,6,5,6,6,5,6,5,7,36,1,162.5,4,1,1,40.705795288086,-73.592300415039,-1
stop and shop,1, ,3,5,1,7,6,7,7,7,7,7,6,6,6,6,6,5,6,7,7,6,6,6,6,6,7,5,6,6,6,6,6,6,5,6,5,6,5,5,5,1,5,6,4,5,6,6,5,5,5,5,6,5,6,5,6,6,5,4,4,6,4,6,5,5,5,5,4,4,6,7,7,6,6,34,1,12.5,5,1,1,40.696304321289,-73.620697021484,-1
target,1, ,3,5,1,5,5,5,6,6,5,6,5,5,6,5,7,3,5,6,5,5,6,6,5,6,4,6,6,7,6,6,5,5,6,4,7,5,5,5,5,1,4,6,6,5,5,4,6,6,4,4,5,6,6,5,5,4,5,3,5,6,5,5,6,4,6,5,5,4,4,4,4,4,4,24,0,162.5,3,5,1,40.696304321289,-73.620697021484,-1
Costco,1, ,3,6,1,6,6,6,6,6,6,5,6,6,6,5,5,6,6,7,6,6,6,6,5,6,4,6,6,5,6,6,4,6,5,5,4,6,5,5,5,1,6,6,5,5,6,5,6,6,4,7,5,6,6,5,4,6,4,5,5,5,4,5,7,6,5,7,5,6,5,5,5,5,6,39,1,187.5,5,1,1,40.722793579102,-73.516998291016,-1
kfc,1, ,3,5,1,5,5,6,5,4,6,6,6,2,5,5,6,6,4,6,6,6,6,7,6,4,5,6,6,5,5,6,6,6,5,7,6,6,5,5,6,1,4,3,4,5,4,5,5,3,6,6,4,5,5,6,6,5,4,5,6,6,5,3,6,5,6,6,5,6,4,6,6,5,5,21,0,62.5,5,5,1,31.045593261719,121.3996887207,-1
Fairway,1, ,2,5,1,4,5,6,6,6,5,6,4,4,5,5,6,5,5,6,6,6,6,5,5,5,5,6,6,5,5,5,6,5,5,6,5,6,5,5,5,1,5,6,5,5,5,5,4,5,4,3,5,5,6,5,3,3,3,3,3,6,3,5,4,5,5,5,5,5,5,5,4,5,5,23,0,12.5,3,5,1,40.672607421875,-73.536399841309,-1
 ,1, ,2,5,1,5,5,6,5,6,5,5,6,6,5,6,5,6,6,6,6,5,6,5,5,5,5,6,6,5,5,6,6,5,6,6,6,5,6,6,5,1,5,5,6,5,5,6,6,5,5,5,6,6,5,6,5,6,6,4,5,6,5,6,5,5,6,6,5,5,6,5,6,5,6,26,0,12.5,3,1,1,40.678894042969,-73.447402954102,-1
costco,1, ,3,6,1,4,4,4,3,4,5,5,4,4,4,4,5,5,4,4,4,4,4,5,4,6,5,6,6,5,6,5,6,6,6,6,6,5,6,6,5,1,6,6,6,5,5,5,5,5,5,5,5,6,5,6,5,5,5,6,5,5,5,5,5,5,5,6,5,6,6,6,5,6,5,33,1,112.5,5,3,1,40.696304321289,-73.620697021484,-1
 ,2, ,2,5,1,5,6,5,6,6,4,7,7,5,6,5,6,7,7,5,6,6,6,5,5,6,5,6,6,7,6,4,6,7,6,5,6,6,6,5,6,1,7,5,5,5,6,7,4,5,6,7,6,6,6,6,7,6,7,7,5,5,6,6,6,7,5,6,7,5,5,6,6,6,4,24,0,12.5,3,5,1,40.722793579102,-73.516998291016,-1
Stop shop,1, ,3,5,1,5,6,6,5,7,7,6,5,5,7,6,6,6,6,6,6,5,6,5,5,4,6,6,6,6,6,6,7,6,7,7,6,6,6,6,5,1,6,7,7,5,5,6,6,6,5,6,7,6,6,6,4,6,6,5,6,6,6,6,5,6,6,6,6,6,6,6,5,6,6,24,1,12.5,3,5,1,40.696304321289,-73.620697021484,-1
Cub Foods,1, ,3,5,1,6,7,5,6,7,7,7,6,6,6,6,4,3,7,6,6,5,6,5,6,5,6,6,6,5,5,5,5,6,6,6,6,6,4,5,6,1,5,6,4,5,4,3,6,6,6,4,6,6,6,6,6,4,5,5,6,5,5,5,4,6,5,5,4,3,5,6,6,5,5,33,1,87.5,5,1,1,44.874496459961,-93.375198364258,-1
Apple store,2, ,2,7,1,6,5,7,6,7,7,6,6,7,6,6,6,6,6,5,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,5,5,5,6,5,1,5,6,6,5,6,6,5,6,6,6,6,6,5,6,6,6,6,6,6,5,5,6,5,5,6,6,6,6,6,6,6,6,5,24,0,12.5,3,5,1,40.678802490234,-73.394203186035,-1
Fairway,1, ,3,5,1,4,4,4,5,6,5,5,6,5,6,5,6,5,4,4,5,5,5,5,5,6,6,6,6,5,7,5,5,6,5,6,5,6,5,5,7,1,5,6,5,5,6,6,5,5,5,6,6,5,5,6,5,6,5,5,5,5,5,6,6,5,6,5,5,6,5,4,5,4,5,56,0,112.5,5,2,1,40.696304321289,-73.620697021484,-1
Bergdorf Goodman,3, ,2,4,1,6,6,5,4,6,5,5,6,6,6,6,6,5,6,6,6,6,6,5,7,6,6,6,6,6,6,4,6,6,6,5,6,5,6,6,7,1,5,4,5,5,5,3,5,4,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,6,5,5,5,5,5,47,0,12.5,4,5,1,40.714294433594,-74.005996704102,-1
American Eagle,3, ,2,7,1,6,6,5,6,7,7,5,7,6,6,6,7,5,6,7,5,4,7,5,7,6,6,6,6,6,6,7,6,5,6,6,7,7,5,6,7,1,6,5,4,5,5,6,4,5,6,5,4,6,5,7,5,5,4,6,4,5,7,4,7,5,5,5,5,6,5,5,5,5,5,35,0,137.5,5,1,1,40.696304321289,-73.620697021484,-1
International Market,1, ,3,5,1,6,4,6,6,6,5,5,5,6,5,4,5,6,6,6,6,4,5,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,1,6,6,5,5,6,5,5,6,5,6,6,6,6,6,6,6,5,6,6,5,6,6,6,5,5,5,5,6,5,4,4,4,6,29,1,37.5,5,1,1,40.748199462891,-73.906799316406,-1
Best Market,1, ,3,5,1,6,6,6,6,6,5,6,5,6,6,5,5,6,6,6,6,7,5,6,5,6,6,6,6,6,6,6,6,7,6,7,7,6,6,7,6,1,5,5,4,5,4,5,5,5,5,5,5,6,6,6,3,4,5,5,5,5,5,6,3,4,5,4,4,4,6,5,5,6,6,34,1,37.5,5,1,1,40.722503662109,-73.556800842285,-1
Costco,1, ,3,6,1,5,6,5,6,5,5,5,6,5,6,5,5,5,5,4,4,4,4,6,5,6,6,6,6,6,6,5,6,6,6,6,5,6,6,5,5,1,6,5,5,5,6,5,6,6,6,6,6,6,6,6,6,5,5,6,6,6,5,6,6,4,6,5,6,5,5,4,5,5,5,28,1,87.5,3,1,1,40.696304321289,-73.620697021484,-1
stop shop,1, ,2,5,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,24,1,12.5,3,5,1,40.696304321289,-73.620697021484,-1
Dick's,3, ,2,4,1,6,4,6,6,5,5,6,6,6,6,5,6,5,6,6,5,6,6,6,6,6,6,6,6,5,5,6,5,6,5,6,6,6,6,5,5,1,5,6,6,5,6,6,6,6,5,6,4,6,6,5,5,4,5,5,6,5,5,6,5,6,6,5,4,5,6,6,6,6,5,25,1,37.5,3,5,1,40.672607421875,-73.536399841309,-1
target,1, ,2,5,1,7,6,6,7,6,6,6,6,6,6,6,7,6,6,7,6,7,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,7,1,6,6,5,5,5,6,6,6,6,7,7,6,6,6,5,6,7,6,7,5,5,5,5,6,6,6,5,5,6,6,6,6,6,24,0,12.5,3,5,1,40.696304321289,-73.620697021484,-1
whole foods,1, ,3,5,1,5,7,5,7,7,5,5,6,7,5,5,6,6,6,6,6,6,6,7,5,6,6,6,6,6,6,6,6,7,5,5,5,5,5,6,7,1,7,5,7,5,6,7,6,7,7,7,7,7,6,6,6,6,5,6,7,7,6,6,5,7,5,7,7,7,6,6,6,6,6,38,1,112.5,5,1,1,40.71110534668,-73.946899414062,-1
Stop&Shop,1, ,2,5,1,6,6,6,5,7,7,7,7,5,6,6,5,7,6,6,6,7,7,5,7,6,7,6,6,6,7,5,6,6,7,5,6,6,5,7,6,1,7,5,6,5,6,6,6,6,6,7,6,7,5,6,5,7,6,6,7,5,6,6,6,6,7,5,6,6,6,7,5,7,6,31,1,162.5,5,1,1,40.696304321289,-73.620697021484,-1
J CREW,3, ,2,7,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,7,6,6,6,6,6,5,6,6,6,6,6,5,5,6,1,6,6,5,5,6,6,5,6,5,6,6,5,5,6,5,5,5,6,5,6,6,6,5,5,6,6,5,5,6,6,6,5,6,27,0,12.5,3,5,1,40.75700378418,-73.581398010254,-1
Ikea,2, ,2,7,1,5,7,6,7,6,5,5,6,6,7,6,7,5,6,6,7,6,5,6,6,6,6,7,6,5,5,5,6,7,7,6,7,6,7,7,6,1,5,7,4,5,5,6,7,5,7,6,6,6,6,6,5,6,5,7,6,6,6,7,6,6,5,6,5,5,7,7,5,6,6,28,1,62.5,5,1,1,24.653701782227,46.715194702148,-1
Bloomingdales,3, ,2,4,1,6,7,6,5,6,6,6,6,7,7,6,5,6,7,6,7,6,6,6,7,6,6,7,6,6,7,7,7,7,5,6,6,6,7,7,6,1,6,7,6,5,6,7,6,5,6,6,7,7,6,6,5,6,6,5,6,7,6,6,6,7,6,7,6,6,4,6,5,4,4,25,1,37.5,4,5,1,40.744903564453,-73.978202819824,-1
 ,2, ,3,6,1,4,3,6,3,3,4,2,6,3,4,2,5,6,4,4,6,5,3,4,6,7,6,7,6,3,6,3,5,4,6,6,3,5,7,4,6,1,4,3,5,5,5,7,5,3,5,4,6,4,7,3,5,4,4,4,5,4,4,6,5,5,2,5,7,6,4,4,5,5,5,28,0,37.5,4,5,1,43.100006103516,-79.050003051758,-1
Stop&Shop,1, ,2,5,1,6,2,2,6,3,7,4,4,3,3,3,2,5,6,2,4,4,5,5,6,6,7,7,6,4,2,3,3,5,7,7,3,4,3,6,3,1,6,2,6,5,4,6,5,5,4,5,3,4,3,7,5,2,4,6,4,2,4,2,4,7,5,4,3,5,4,4,7,3,3,32,1,112.5,4,5,1,40.714294433594,-74.005996704102,-1
Trader Joe's,1, ,2,5,1,6,6,7,6,6,6,7,7,6,5,7,6,7,7,5,7,7,6,7,7,6,7,7,6,6,6,6,7,7,7,6,7,6,6,6,6,1,7,7,6,5,6,6,6,6,7,6,7,5,7,7,6,7,5,6,6,6,6,7,6,6,5,7,6,5,7,6,7,6,7,24,0,12.5,3,5,1,40.696304321289,-73.620697021484,-1
Apple,4, ,1,4,1,3,6,5,3,6,6,5,2,2,7,6,4,4,3,5,4,1,5,7,4,3,6,3,7,5,7,6,4,5,4,4,2,2,2,5,6,1,2,4,2,5,6,3,6,4,2,5,5,7,5,3,3,1,7,7,6,3,6,2,4,4,5,4,7,3,5,6,7,6,7,32,1,250,5,1,1,40.696304321289,-73.620697021484,-1
Juicy Couture,3, ,1,4,1,3,4,4,4,2,4,5,3,5,5,5,7,5,6,2,3,4,6,3,7,2,5,4,7,6,3,4,6,5,4,3,7,5,5,4,5,1,4,6,4,5,4,5,5,5,4,4,4,5,5,4,4,4,5,4,4,6,4,5,4,5,6,5,5,5,6,5,4,5,6,29,0,62.5,5,5,1,40.696304321289,-73.620697021484,-1
