Q4,Q5,Q5_TEXT,Q6,Q7,Q8,Q9_22,Q9_23,Q9_24,Q9_25,Q9_26,Q9_27,Q9_28,Q9_29,Q9_30,Q9_31,Q9_32,Q9_33,Q9_34,Q9_35,Q9_36,Q9_37,Q9_38,Q9_39,Q10_40,Q10_41,Q10_42,Q10_43,Q10_44,Q10_45,Q10_46,Q10_47,Q10_48,Q10_49,Q10_50,Q10_51,Q10_52,Q10_53,Q10_54,Q10_55,Q10_56,Q10_57,Q11,Q12_58,Q12_59,Q12_60,Q12_61,Q12_62,Q12_63,Q12_64,Q12_65,Q12_66,Q12_67,Q12_68,Q12_69,Q12_70,Q12_71,Q12_72,Q12_73,Q12_74,Q12_75,Q12_76,Q12_77,Q12_78,Q12_79,Q12_80,Q12_81,Q12_82,Q12_83,Q12_84,Q12_85,Q13_79,Q13_80,Q13_81,Q13_82,Q13_83,Q14_1,Q15,Q16,Q17,Q18,Q19,LocationLatitude,LocationLongitude,LocationAccuracy
log,3, ,2,6,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,2,3,2,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,3,3,30,1,162.5,4,4,1,40.696304321289,-73.620697021484,-1
target,2, ,2,5,1,3,4,4,3,4,4,4,4,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,5,5,4,1,4,4,5,2,4,4,4,3,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,3,4,5,4,3,4,4,26,1,12.5,3,5,1,42.309906005859,-71.12020111084,-1
Bloomingdales,3, ,2,4,1,4,7,5,6,6,5,6,7,6,6,5,5,5,4,5,5,4,4,6,4,5,4,7,4,5,5,5,7,5,4,5,5,6,6,5,7,1,5,4,4,2,2,7,4,3,6,2,5,4,3,5,3,3,4,4,2,2,3,2,6,2,3,4,6,3,2,4,3,4,2,24,0,87.5,5,5,1,40.714294433594,-74.005996704102,-1
JCPENEY,5, ,1,7,1,3,5,4,2,4,4,5,6,7,6,3,4,4,5,4,4,2,5,5,5,4,6,3,5,7,5,4,4,4,4,5,4,5,4,3,4,1,4,7,4,2,6,5,5,3,2,6,6,4,5,6,6,3,7,2,4,3,4,4,7,6,6,5,3,6,2,3,5,7,7,29,1,87.5,5,5,1,40.745803833008,-73.638999938965,-1
KFC,1, ,2,9,1,3,3,4,4,5,5,5,5,5,3,2,2,6,7,6,4,4,4,5,7,5,3,4,5,6,1,5,2,6,2,6,5,3,4,4,7,1,3,5,3,2,5,4,4,6,7,4,6,4,5,3,4,4,5,6,6,5,2,2,7,4,4,1,3,6,7,6,4,5,6,48,1,37.5,4,5,1,40.696304321289,-73.620697021484,-1
Walmart,1, ,2,10,1,2,2,5,2,2,6,4,5,6,3,3,2,4,4,5,2,6,2,5,3,3,2,5,5,3,3,3,6,5,6,2,5,3,2,2,3,1,2,5,5,2,5,3,1,3,5,3,4,2,5,3,5,4,4,3,5,2,2,3,3,5,5,3,5,4,3,4,6,6,4,25,0,37.5,4,1,1,28.480697631836,-81.551803588867,-1
Walmart,1, ,3,4,1,4,5,3,4,4,3,4,5,4,4,3,5,4,4,4,4,4,5,5,4,3,5,5,5,4,3,4,4,3,4,4,4,4,4,3,4,1,4,4,3,2,3,2,2,3,3,2,2,3,3,3,3,2,3,3,2,3,2,4,2,2,3,3,2,4,4,5,5,5,5,34,0,62.5,5,5,1,40.766998291016,-73.525398254395,-1
forever21,3, ,3,4,1,5,5,5,6,5,5,6,6,6,6,5,6,5,6,6,6,5,6,5,6,5,6,6,5,6,5,6,5,5,6,6,5,6,5,6,6,1,2,3,3,2,3,3,2,3,3,2,3,2,3,3,2,3,3,2,2,3,2,3,2,2,3,3,2,2,3,2,3,2,3,23,0,12.5,3,5,1,40.722503662109,-73.556800842285,-1
apple,2, ,1,7,1,4,2,2,3,1,2,3,1,5,6,4,3,3,4,4,2,2,4,1,3,3,2,4,7,1,7,7,5,6,5,3,6,2,4,2,2,1,4,4,2,2,6,5,2,5,5,2,4,4,5,4,3,3,5,3,3,2,3,3,4,6,5,6,3,4,6,4,4,4,5,38,0,37.5,5,2,1,40.722793579102,-73.516998291016,-1
 ,3, ,2,5,1,1,1,1,2,1,2,1,1,2,3,1,2,2,2,2,1,2,3,2,2,2,2,1,1,1,3,2,1,2,3,3,2,1,2,2,2,1,2,3,1,3,3,1,2,1,1,2,2,2,2,3,2,3,1,1,4,2,2,3,2,2,1,2,2,2,4,3,2,3,2,22,0,12.5,4,5,1,45.75,126.64999389648,-1
